fixture_id,fixture_opta_id,gameweek,team_h_id,team_h_opta_id,team_h_name,team_h_short_name,team_a_id,team_a_opta_id,team_a_name,team_a_short_name,team_h_score,team_a_score,kickoff_time,finished,started,team_h_difficulty,team_a_difficulty
20,2638902,,9,320,N.E.C.,NEC,15,539,Excelsior,EXC,,,,False,,,
1,2638883,1,17,314,SC Cambuur,CAM,15,539,Excelsior,EXC,0,4,2026-08-07T18:00:00Z,True,True,,
4,2638884,1,9,320,N.E.C.,NEC,14,905,Telstar,TEL,1,2,2026-08-08T14:30:00Z,True,True,,
3,2638885,1,8,734,Go Ahead Eagles,GAE,18,207,Willem II,WIL,4,1,2026-08-08T16:45:00Z,True,True,,
5,2638886,1,11,204,PSV,PSV,7,316,Fortuna Sittard,FOR,2,2,2026-08-08T18:00:00Z,True,True,,
2,2638887,1,2,313,AZ,AZ,16,701,ADO Den Haag,ADO,2,0,2026-08-08T19:00:00Z,True,True,,
8,2638888,1,13,323,Sparta Rotterdam,SPA,6,198,Feyenoord,FEY,0,1,2026-08-09T10:15:00Z,True,True,,
6,2638889,1,3,425,FC Groningen,GRO,5,325,FC Utrecht,UTR,2,1,2026-08-09T12:30:00Z,True,True,,
7,2638890,1,10,424,PEC Zwolle,PEC,1,215,Ajax,AJA,0,2,2026-08-09T12:30:00Z,True,True,,
9,2638891,1,12,318,sc Heerenveen,HEE,4,324,FC Twente,TWE,1,0,2026-08-09T14:45:00Z,True,True,,
10,2638892,2,14,905,Telstar,TEL,13,323,Sparta Rotterdam,SPA,1,3,2026-08-14T18:00:00Z,True,True,,
14,2638893,2,18,207,Willem II,WIL,9,320,N.E.C.,NEC,1,4,2026-08-15T14:30:00Z,True,True,,
12,2638894,2,5,325,FC Utrecht,UTR,2,313,AZ,AZ,1,4,2026-08-15T16:45:00Z,True,True,,
11,2638895,2,15,539,Excelsior,EXC,11,204,PSV,PSV,1,2,2026-08-15T18:00:00Z,True,True,,
13,2638896,2,7,316,Fortuna Sittard,FOR,17,314,SC Cambuur,CAM,3,1,2026-08-15T19:00:00Z,True,True,,
15,2638897,2,16,701,ADO Den Haag,ADO,3,425,FC Groningen,GRO,1,4,2026-08-16T10:15:00Z,True,True,,
17,2638899,2,4,324,FC Twente,TWE,10,424,PEC Zwolle,PEC,3,1,2026-08-16T12:30:00Z,True,True,,
18,2638898,2,6,198,Feyenoord,FEY,8,734,Go Ahead Eagles,GAE,2,2,2026-08-16T12:30:00Z,True,True,,
16,2638900,2,1,215,Ajax,AJA,12,318,sc Heerenveen,HEE,2,2,2026-08-16T14:45:00Z,True,True,,
19,2638901,3,7,316,Fortuna Sittard,FOR,2,313,AZ,AZ,0,2,2026-08-22T14:30:00Z,True,True,,
21,2638903,3,13,323,Sparta Rotterdam,SPA,5,325,FC Utrecht,UTR,3,3,2026-08-22T16:45:00Z,True,True,,
22,2638904,3,12,318,sc Heerenveen,HEE,10,424,PEC Zwolle,PEC,0,2,2026-08-22T19:00:00Z,True,True,,
23,2638905,3,8,734,Go Ahead Eagles,GAE,16,701,ADO Den Haag,ADO,3,1,2026-08-23T10:15:00Z,True,True,,
24,2638906,3,11,204,PSV,PSV,3,425,FC Groningen,GRO,5,1,2026-08-23T12:30:00Z,True,True,,
25,2638907,3,17,314,SC Cambuur,CAM,6,198,Feyenoord,FEY,2,5,2026-08-23T14:45:00Z,True,True,,
26,2638910,4,3,425,FC Groningen,GRO,7,316,Fortuna Sittard,FOR,,,2026-08-28T18:00:00Z,False,False,,
28,2638911,4,15,539,Excelsior,EXC,13,323,Sparta Rotterdam,SPA,,,2026-08-29T14:30:00Z,False,False,,
27,2638912,4,2,313,AZ,AZ,8,734,Go Ahead Eagles,GAE,,,2026-08-29T16:45:00Z,False,False,,
29,2638913,4,10,424,PEC Zwolle,PEC,9,320,N.E.C.,NEC,,,2026-08-29T19:00:00Z,False,False,,
30,2638914,4,5,325,FC Utrecht,UTR,11,204,PSV,PSV,,,2026-08-30T10:15:00Z,False,False,,
31,2638916,4,6,198,Feyenoord,FEY,16,701,ADO Den Haag,ADO,,,2026-08-30T12:30:00Z,False,False,,
34,2638915,4,18,207,Willem II,WIL,12,318,sc Heerenveen,HEE,,,2026-08-30T12:30:00Z,False,False,,
33,2638917,4,14,905,Telstar,TEL,1,215,Ajax,AJA,,,2026-08-30T14:45:00Z,False,False,,
32,2638918,4,17,314,SC Cambuur,CAM,4,324,FC Twente,TWE,,,2026-08-30T18:00:00Z,False,False,,
35,2638919,5,13,323,Sparta Rotterdam,SPA,10,424,PEC Zwolle,PEC,,,2026-09-04T18:00:00Z,False,False,,
38,2638920,5,9,320,N.E.C.,NEC,6,198,Feyenoord,FEY,,,2026-09-05T14:30:00Z,False,False,,
37,2638921,5,5,325,FC Utrecht,UTR,8,734,Go Ahead Eagles,GAE,,,2026-09-05T16:45:00Z,False,False,,
36,2638922,5,1,215,Ajax,AJA,11,204,PSV,PSV,,,2026-09-05T18:00:00Z,False,False,,
39,2638923,5,18,207,Willem II,WIL,15,539,Excelsior,EXC,,,2026-09-05T19:00:00Z,False,False,,
41,2638924,5,3,425,FC Groningen,GRO,4,324,FC Twente,TWE,,,2026-09-06T10:15:00Z,False,False,,
43,2638925,5,12,318,sc Heerenveen,HEE,2,313,AZ,AZ,,,2026-09-06T12:30:00Z,False,False,,
42,2638926,5,14,905,Telstar,TEL,17,314,SC Cambuur,CAM,,,2026-09-06T12:30:00Z,False,False,,
40,2638927,5,16,701,ADO Den Haag,ADO,7,316,Fortuna Sittard,FOR,,,2026-09-06T14:45:00Z,False,False,,
44,2638908,5,4,324,FC Twente,TWE,14,905,Telstar,TEL,,,2026-09-09T16:45:00Z,False,False,,
45,2638928,6,2,313,AZ,AZ,18,207,Willem II,WIL,,,2026-09-11T18:00:00Z,False,False,,
46,2638929,6,4,324,FC Twente,TWE,16,701,ADO Den Haag,ADO,,,2026-09-12T14:30:00Z,False,False,,
48,2638930,6,8,734,Go Ahead Eagles,GAE,3,425,FC Groningen,GRO,,,2026-09-12T16:45:00Z,False,False,,
47,2638931,6,7,316,Fortuna Sittard,FOR,1,215,Ajax,AJA,,,2026-09-12T18:00:00Z,False,False,,
49,2638932,6,12,318,sc Heerenveen,HEE,14,905,Telstar,TEL,,,2026-09-12T19:00:00Z,False,False,,
50,2638933,6,15,539,Excelsior,EXC,5,325,FC Utrecht,UTR,,,2026-09-13T10:15:00Z,False,False,,
52,2638934,6,11,204,PSV,PSV,13,323,Sparta Rotterdam,SPA,,,2026-09-13T12:30:00Z,False,False,,
53,2638935,6,17,314,SC Cambuur,CAM,9,320,N.E.C.,NEC,,,2026-09-13T12:30:00Z,False,False,,
51,2638936,6,10,424,PEC Zwolle,PEC,6,198,Feyenoord,FEY,,,2026-09-13T14:45:00Z,False,False,,
54,2638909,6,1,215,Ajax,AJA,18,207,Willem II,WIL,,,2026-09-15T18:00:00Z,False,False,,
55,2638939,7,3,425,FC Groningen,GRO,10,424,PEC Zwolle,PEC,,,2026-09-18T18:00:00Z,False,False,,
